"created_at","screen_name","text"
2021-08-06 17:13:55,"C30BHouse","@malaibar lolos cpns aku potong kambing, ingetin yaaaa."
2021-08-06 17:09:05,"bawangmeera","@adinarasha Sumpah ya dah kea cpns"
2021-08-06 17:06:15,"ilyyoung_","Bismillah, semoga di taun ini lolos cpns, dapet jodoh yg baik, beriman, makin dewasa ga gampang ngambek, ga gampang stres, tetep sehat, dan keinginanku lainnya yg ga bisa disebut dikabulkan amin.. https://t.co/iHLlMGz8rH"
2021-08-06 17:06:06,"reyner46","@nirwandanila Uhuk cpns ya"
2021-08-06 17:03:23,"diakalila","@evaniago Boleh sekalian jawabin soal cpns buat aku? <U+0001F605>"
2021-08-06 17:03:20,"pqirsdef","""Belinya yang mana?""
""Yang ini!!""
""Lah katanya TOEFL kok novel???""
""Hehe""
""Haha hehe haha hehe""

""kok lo komik bang? katanya buku tes cpns?""
""Hehe""
""Haha hehe haha hehe""
.
[ #igot7selcaday #ahgaseselcaday #ig7sd #igsd #GOT7 @jaybnow_hr ] https://t.co/GenDZp1M1k"
2021-08-06 17:02:15,"Artificialpainn","@terbangkeemg Tes cpns?"
2021-08-06 16:59:01,"vwxyanuu","@IsmyMufida ngajuin cpns kah?"
2021-08-06 16:54:57,"aalgilaa","@radenrauf tes cpns"
2021-08-06 16:46:49,"minwongopublic","minwon edisi gagal cute, ya lagian min9yu disuruh bikin ginian<U+0001F627>

<U+0001F431> : tes cpns kok baju oren<U+0001F624> https://t.co/NaxG52ROwH"
2021-08-06 16:43:45,"sajangnim_hi","@collegemenfess bknnya cpns mah ditest ya?"
2021-08-06 16:39:28,"CPNS_BUMN","Setuju banget nih!!

Tak kasih <U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>

Apapun tema konferensinya, keynote speakernya Rektor saja. *)pake nada tagline Teh Botol S*sro. https://t.co/ORfJhvJ2VD"
2021-08-06 09:37:26,"CPNS_BUMN","Ini susah kasusnya. Mirip kayak..pihak kampus telat memperpanjang akreditasi. Dan ada lulusan yg lulus di saat akreditasi habis dan akreditasi baru belum terbit. Jadi bakal akan TMS. https://t.co/xqmZRnpOkI"
2021-08-06 15:26:31,"CPNS_BUMN","Betapa pentingnya baca persyaratan administrasi di instansi yg dilamar. Jangan terpengaruh dengan persyaratan instansi lain!!!"
2021-08-06 12:06:49,"CPNS_BUMN","Tapi ada jg beberapa yg akhirnya mengundurkan diri dr PNS.
Saya ada 2 orang yg jadi PNS di Kementerian, trus mundur. Tertekan karena kreativitasnya terkekang. Sekarang kerja lepas &amp; jadi konten kreator. Kalau saya sebut namanya kalian tau kok.

Semua org punya preferensi masing². https://t.co/WBaJI8ozfA"
